id,chinese,pinyin,english,base_herb,processing,botanical_source,net_content_g,extract_ratio,raw_per_g,raw_per_bag,categories,tcm_functions,contraindications,data_source
499,野菊花,Yě Jú Huā,Wild Chrysanthemum,野菊花,,,2.25,4:1,4,9,toxin|heat|skin|abscess|hypertension,"Clear Heat, resolve toxin, drain Fire and calm the Liver — stronger toxin action than 菊花",Spleen and Stomach Cold deficiency; Qi deficiency,derived
500,益母草,Yì Mǔ Cǎo,Motherwort,益母草,,,1.82,5.5:1,5.5,10,women|menstrual|blood_stasis|uterus,"Invigorate Blood, dispel stasis, regulate menstruation, reduce edema","Pregnancy, Blood deficiency without stasis",curated
501,鲜益母草,Xiān Yì Mǔ Cǎo,Fresh Leonurus,鲜益母草,,,1,10:1,10,10,blood_move|menstrual|women|oedema|postpartum,"Invigorate Blood, free menstruation, promote urination and reduce swelling — the fresh herb is stronger",Pregnancy; Blood deficiency without stasis,derived
502,薏苡仁,Yì Yǐ Rén,Job's Tears Seed,薏苡仁,,,2,5:1,5,10,gut|damp|spleen|joint|heat,"Strengthen Spleen, resolve Damp, clear Heat, expel Bi syndrome",Pregnancy,curated
503,麸炒薏苡仁,Fū Chǎo Yì Yǐ Rén,Bran-fried Job's Tears Seed,薏苡仁,麸炒,,2,5:1,5,10,gut|damp|spleen|joint|heat|stomach,"Strengthen Spleen, resolve Damp, clear Heat, expel Bi syndrome. Bran-frying moderates harshness and directs the action to the Spleen and Stomach, strengthening the tonifying effect while reducing irritation to the gut.",Pregnancy,curated+processed
504,益智仁,Yì Zhì Rén,Alpinia Oxyphylla Fruit,益智仁,,,1.25,4:1,4,5,kidney|urinary|spleen|yang_tonic|enuresis,"Warm the Kidney, secure Essence, reduce urination, warm the Spleen and check salivation",Yin deficiency with Heat; Damp-Heat,derived
505,盐益智仁,Yán Yì Zhì Rén,Salt-processed Alpinia Oxyphylla Fruit,益智仁,盐,,1.43,3.5:1,3.5,5,kidney|urinary|spleen|yang_tonic|enuresis,"Warm the Kidney, secure Essence, reduce urination, warm the Spleen and check salivation. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",Yin deficiency with Heat; Damp-Heat,derived
506,银柴胡,Yín Chái Hú,Stellaria Root,银柴胡,,,2.94,1.7:1,1.7,5,fever|yin_tonic|paediatric|heat,Clear deficiency Heat and reduce childhood nutritional-impairment fever,Exterior pattern with fever; Blood deficiency without Heat,derived
507,茵陈【滨蒿(绵茵陈)】,Yīn Chén,Virgate Wormwood,茵陈,,滨蒿(绵茵陈),1.33,4.5:1,4.5,6,damp_heat|liver|gallbladder|gut,"Clear Damp-Heat, promote bile, treat jaundice",Blood deficiency without Damp-Heat,curated
508,淫羊藿(淫羊藿),Yín Yáng Huò,Epimedium Leaf,淫羊藿,,淫羊藿,1.2,5:1,5,6,yang_tonic|kidney|men|bone|aging|immune,"Tonify Kidney Yang, strengthen bones, dispel Wind-Cold-Damp",Yin deficiency with Heat,curated
509,炙淫羊藿(淫羊藿),Zhì Yín Yáng Huò,Honey-fried Epimedium Leaf,淫羊藿,炙,淫羊藿,0.92,6.5:1,6.5,6,yang_tonic|kidney|men|bone|aging|immune|qi_tonic|spleen,"Tonify Kidney Yang, strengthen bones, dispel Wind-Cold-Damp. Honey-frying warms and moistens, enhancing the Qi-tonifying and Middle-harmonising action while reducing dispersing effects.",Yin deficiency with Heat,curated+processed
510,余甘子,Yú Gān Zǐ,Emblic Fruit,余甘子,,,1.2,2.5:1,2.5,3,heat|digestion|throat|antioxidant,"Clear Heat, cool Blood, aid digestion and moisten the throat",Spleen and Stomach Cold deficiency,derived
511,郁李仁(欧李),Yù Lǐ Rén,Prunus Seed,郁李仁,,欧李,0.8,7.5:1,7.5,6,constipation|oedema|urinary|gut,"Moisten the intestines, free the stool, promote urination and reduce swelling",Pregnancy; loose stool; Yin deficiency with fluid depletion,derived
512,玉米须,Yù Mǐ Xū,Corn Silk,玉米须,,,1.1,9.1:1,9.1,10,urinary|oedema|damp|liver|blood_sugar,"Promote urination, reduce swelling, drain Damp and relieve jaundice",Generally well tolerated; caution with diuretic therapy,derived
513,鱼腥草,Yú Xīng Cǎo,Houttuynia,鱼腥草,,,3,5:1,5,15,lung|toxin|heat|abscess|urinary,"Clear Heat, resolve toxin, expel pus and promote urination",Spleen and Stomach deficiency Cold; sores of deficiency type; add late in decoction,derived
514,玉竹,Yù Zhú,Solomon's Seal,玉竹,,,4.17,1.2:1,1.2,5,yin_tonic|stomach|lung|aging|heat,"Nourish Yin, moisten Dryness, generate fluids","Phlegm-Damp, Cold-Damp Spleen",curated
515,远志(远志),Yuǎn Zhì,Polygala Root,远志,,远志,1.25,2.4:1,2.4,3,sleep|heart|shen|memory|phlegm,"Calm Shen, resolve Phlegm, benefit Heart-Kidney communication",Peptic ulcer,curated
516,蜜远志(远志),Mì Yuǎn Zhì,Honey-fried Polygala Root,远志,蜜,远志,1.76,1.7:1,1.7,3,sleep|heart|shen|memory|phlegm|lung|cough,"Calm Shen, resolve Phlegm, benefit Heart-Kidney communication. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",Peptic ulcer,curated+processed
517,制远志(远志),Zhì Yuǎn Zhì,Processed Polygala Root,远志,制,远志,1.3,2.3:1,2.3,3,sleep|heart|shen|memory|phlegm,"Calm Shen, resolve Phlegm, benefit Heart-Kidney communication. Processing reduces toxicity and harshness so the herb can be used safely at therapeutic dose.",Peptic ulcer,curated+processed
518,叶下珠,Yè Xià Zhū,Phyllanthus,叶下珠,,,0.94,5.3:1,5.3,5,heat|damp|liver|jaundice|eye,"Clear Heat, drain Damp, resolve toxin, brighten the eyes and protect the Liver",Spleen and Stomach Cold deficiency,derived
519,银杏叶,Yín Xìng Yè,Ginkgo Leaf,银杏叶,,,2.86,3.5:1,3.5,10,circulation|heart|memory|lung|blood_move,"Invigorate Blood, free the collaterals, astringe the Lung, calm wheezing and improve circulation",Bleeding disorders; anticoagulant therapy; pre-operative use,derived
520,皂角刺,Zào Jiǎo Cì,Gleditsia Spine,皂角刺,,,0.5,20:1,20,10,thyroid|nodule|phlegm|lymph,"Resolve toxins, dissipate nodules, promote pus discharge","Pregnancy, no active suppuration",curated
521,泽兰,Zé Lán,Lycopus,泽兰,,,1.2,5:1,5,6,blood_move|menstrual|women|oedema|trauma,"Invigorate Blood, free menstruation, drain Damp and reduce swelling",Pregnancy; Blood deficiency without stasis,derived
522,泽泻(泽泻),Zé Xiè,Water Plantain,泽泻,,泽泻,1.5,4:1,4,6,kidney|damp|dizziness|gut|damp_heat,"Leach out Damp, clear Heat in Kidney and Bladder",Kidney Yin or Yang deficiency without Damp,curated
523,盐泽泻(泽泻),Yán Zé Xiè,Salt-processed Water Plantain,泽泻,盐,泽泻,1.71,3.5:1,3.5,6,kidney|damp|dizziness|gut|damp_heat,"Leach out Damp, clear Heat in Kidney and Bladder. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",Kidney Yin or Yang deficiency without Damp,curated+processed
524,浙贝母,Zhè Bèi Mǔ,Fritillaria Bulb (Zhe),浙贝母,,,1.25,4:1,4,5,phlegm|thyroid|nodule|cough|heat,"Clear Heat, resolve Phlegm, soften hardness, dissipate nodules",Cold-Damp Phlegm,curated
525,知母,Zhī Mǔ,Anemarrhena Rhizome,知母,,,3.34,1.8:1,1.8,6,women|menopause|heat|yin_tonic|kidney,"Clear Heat, nourish Yin, reduce Empty Fire",Spleen deficiency with diarrhea,curated
526,盐知母,Yán Zhī Mǔ,Salt-processed Anemarrhena Rhizome,知母,盐,,3.53,1.7:1,1.7,6,women|menopause|heat|yin_tonic|kidney,"Clear Heat, nourish Yin, reduce Empty Fire. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",Spleen deficiency with diarrhea,curated+processed
527,枳壳,Zhǐ Qiào,Bitter Orange Mature Fruit,枳壳,,,1.43,3.5:1,3.5,5,qi_move|bloating|digestion|prolapse,"Move Qi, relieve distension and disperse focal accumulation — gentler than 枳实",Pregnancy; Qi deficiency; weak constitution,derived
528,麸炒枳壳,Fū Chǎo Zhǐ Qiào,Bran-fried Bitter Orange Mature Fruit,枳壳,麸炒,,1.67,3:1,3,5,qi_move|bloating|digestion|prolapse|spleen|stomach,"Move Qi, relieve distension and disperse focal accumulation — gentler than 枳实. Bran-frying moderates harshness and directs the action to the Spleen and Stomach, strengthening the tonifying effect while reducing irritation to the gut.",Pregnancy; Qi deficiency; weak constitution,derived
529,枳实(酸橙),Zhǐ Shí,Immature Bitter Orange,枳实,,酸橙,1.5,3.3:1,3.3,5,qi_move|digestion|constipation|phlegm,"Break Qi stagnation, disperse accumulation and transform phlegm — stronger than 枳壳",Pregnancy; Spleen and Stomach deficiency without stagnation,derived
530,麸炒枳实(酸橙),Fū Chǎo Zhǐ Shí,Bran-fried Immature Bitter Orange,枳实,麸炒,酸橙,1.5,3.3:1,3.3,5,qi_move|digestion|constipation|phlegm|spleen|stomach,"Break Qi stagnation, disperse accumulation and transform phlegm — stronger than 枳壳. Bran-frying moderates harshness and directs the action to the Spleen and Stomach, strengthening the tonifying effect while reducing irritation to the gut.",Pregnancy; Spleen and Stomach deficiency without stagnation,derived
531,焦栀子,Jiāo Zhī Zǐ,Scorch-fried Gardenia Fruit,栀子,焦,,2,3:1,3,6,heat|liver|jaundice|irritability|bleeding|digestion|diarrhoea,"Drain Fire, relieve irritability, clear Heat, drain Damp, cool Blood and resolve toxin. Scorch-frying markedly strengthens the food-dispersing and diarrhoea-checking action, and adds a mild astringent, bleeding-stopping quality.",Spleen deficiency with loose stool; no Heat present,derived
532,栀子,Zhī Zǐ,Gardenia Fruit,栀子,,,2,3:1,3,6,heat|liver|jaundice|irritability|bleeding,"Drain Fire, relieve irritability, clear Heat, drain Damp, cool Blood and resolve toxin",Spleen deficiency with loose stool; no Heat present,derived
533,炒栀子,Chǎo Zhī Zǐ,Dry-fried Gardenia Fruit,栀子,炒,,2,3:1,3,6,heat|liver|jaundice|irritability|bleeding|spleen,"Drain Fire, relieve irritability, clear Heat, drain Damp, cool Blood and resolve toxin. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Spleen deficiency with loose stool; no Heat present,derived
534,栀子炭,Zhī Zǐ Tàn,Charred Gardenia,栀子炭,,,1.43,3.5:1,3.5,5,bleeding|heat|astringent,Charring shifts the action toward cooling Blood and stopping bleeding,Cold deficiency bleeding,derived
535,猪苓,Zhū Líng,Polyporus,猪苓,,,0.59,17:1,17,10,urinary|damp|oedema|diarrhoea,Promote urination and drain Damp — stronger diuretic than 茯苓 but without tonifying action,No Damp accumulation; prolonged use injures Yin,derived
536,姜竹茹(青秆竹),Jiāng Zhú Rú,Ginger-processed Bamboo Shavings,竹茹,姜,青秆竹,0.5,10:1,10,5,phlegm|heat|nausea|sleep|anxiety|stomach,"Clear Heat, resolve Phlegm, calm Shen, stop vomiting. Ginger-processing warms the Middle, curbs toxicity and reduces the tendency to cause nausea, strengthening the phlegm-transforming and vomiting-stopping action.",Cold-Damp Spleen,curated+processed
537,竹茹(青秆竹),Zhú Rú,Bamboo Shavings,竹茹,,青秆竹,0.5,10:1,10,5,phlegm|heat|nausea|sleep|anxiety,"Clear Heat, resolve Phlegm, calm Shen, stop vomiting",Cold-Damp Spleen,curated
538,紫草(新疆紫草),Zǐ Cǎo,Lithospermum Root,紫草,,新疆紫草,0.5,10:1,10,5,heat|skin|rash|toxin|burn,"Cool Blood, invigorate Blood, resolve toxin and vent rashes",Spleen deficiency with loose stool; pregnancy,derived
539,紫花地丁,Zǐ Huā Dì Dīng,Viola,紫花地丁,,,3.75,4:1,4,15,toxin|heat|skin|abscess|snakebite,"Clear Heat, resolve toxin, cool Blood and reduce swelling",Sores of deficiency type; Spleen Cold deficiency,derived
540,紫苏叶,Zǐ Sū Yè,Perilla Leaf,紫苏叶,,,1.25,4:1,4,5,exterior|wind_cold|nausea|qi_move|allergy,"Release the exterior, disperse Cold, move Qi, harmonise the Middle and curb seafood toxin",Exterior deficiency with sweating; Qi deficiency; add late in decoction,derived
541,紫菀,Zǐ Wǎn,Aster Root,紫菀,,,3.34,1.5:1,1.5,5,cough|phlegm|lung|dryness,"Moisten the Lung, descend Qi, dissolve phlegm and stop cough",Cough from Yin deficiency with blood in sputum — use with care,derived
542,蜜紫菀,Mì Zǐ Wǎn,Honey-fried Aster Root,紫菀,蜜,,4.17,1.2:1,1.2,5,cough|phlegm|lung|dryness,"Moisten the Lung, descend Qi, dissolve phlegm and stop cough. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",Cough from Yin deficiency with blood in sputum — use with care,derived
543,苎麻根,Zhù Má Gēn,Boehmeria Root,苎麻根,,,1.69,5.9:1,5.9,10,bleeding|heat|pregnancy|toxin|urinary,"Cool Blood, stop bleeding, clear Heat, resolve toxin and calm the fetus",Spleen and Stomach Cold deficiency,derived
544,煅自然铜,Duàn Zì Rán Tóng,Calcined Pyrite,自然铜,煅,,0.8,12.5:1,12.5,10,fracture|trauma|bone|pain|blood_move|astringent,"Dissipate Blood stasis, relieve pain, mend sinew and join bone. Calcining makes a mineral or shell friable and readily decocted, strengthening the astringent, acid-restraining and anchoring action.",Blood deficiency without stasis; calcine and decoct first,derived
545,紫苏梗,Zǐ Sū Gěng,Perilla Stem,紫苏梗,,,1,10:1,10,10,qi_move|chest|stomach|pregnancy|nausea,"Move Qi, loosen the chest, harmonise the Stomach and calm the fetus",Qi deficiency; Yin deficiency with Heat,derived
546,紫苏子,Zǐ Sū Zǐ,Perilla Fruit,紫苏子,,,0.5,12:1,12,6,cough|phlegm|asthma|constipation|lung,"Descend Qi, dissolve phlegm, stop cough, calm wheezing and moisten the intestines",Loose stool; Qi deficiency cough,derived
547,炒紫苏子,Chǎo Zǐ Sū Zǐ,Dry-fried Perilla Fruit,紫苏子,炒,,0.75,8:1,8,6,cough|phlegm|asthma|constipation|lung|spleen,"Descend Qi, dissolve phlegm, stop cough, calm wheezing and moisten the intestines. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Loose stool; Qi deficiency cough,derived
548,肿节风,Zhǒng Jié Fēng,Sarcandra,肿节风,,,1.33,7.5:1,7.5,10,heat|toxin|wind_damp|oncology_support|pain,"Clear Heat, resolve toxin, dispel Wind, invigorate Blood and reduce swelling",Pregnancy; Spleen Cold deficiency,derived
549,棕榈炭,Zōng Lǘ Tàn,Charred Trachycarpus,棕榈炭,,,0.5,10:1,10,5,bleeding|astringent|women|menstrual,Astringe and stop bleeding,Bleeding due to Blood stasis or Heat excess,derived
550,宽筋藤(宽筋藤),Kuān Jīn Téng,Tinospora Stem,宽筋藤,,宽筋藤,1,10:1,10,10,wind_damp|sinew|collateral|pain,"Dispel Wind-Damp, relax the sinews and free the collaterals",Pregnancy; Cold deficiency,derived
551,赭石,Zhě Shí,Haematite,赭石,,,0.8,12.5:1,12.5,10,liver|hypertension|nausea|asthma|bleeding,"Settle the Liver, subdue Yang, descend rebellious Qi, stop vomiting and cool Blood to stop bleeding",Pregnancy; Cold deficiency of Middle Burner; decoct first; contains trace arsenic — not for prolonged use,derived
